item_id,is_p_off,is_p_off,is_flat_p,d_value,start_date,end_date,type,b_f,s_f,lf,comments,sa,sb,sbhi,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,1,410,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,361,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,19,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,57,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,190,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,189,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,94,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1,299,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,1,427,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,370,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,370,20-04-2021 15:20,26-04-2021 23:59,PERCENTAGE,0,100,0,Bhiwadi 29598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
